scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,2984,138,52,6109,6161,5971,6023,5971
FCFS,6234,138,63,6161,6224,6023,6086,6023
FCFS,3661,139,38,6224,6262,6085,6123,6085
FCFS,1877,140,8,6262,6270,6122,6130,6122
FCFS,4827,140,79,6270,6349,6130,6209,6130
FCFS,2680,141,9,6349,6358,6208,6217,6208
FCFS,4435,142,68,6358,6426,6216,6284,6216
FCFS,6106,142,35,6426,6461,6284,6319,6284
FCFS,6035,143,43,6461,6504,6318,6361,6318
FCFS,4912,143,17,6504,6521,6361,6378,6361
FCFS,9885,144,41,6521,6562,6377,6418,6377
FCFS,1348,145,52,6562,6614,6417,6469,6417
FCFS,8203,145,53,6614,6667,6469,6522,6469
FCFS,1933,145,20,6667,6687,6522,6542,6522
FCFS,5789,145,79,6687,6766,6542,6621,6542
FCFS,3919,146,96,6766,6862,6620,6716,6620
FCFS,2213,147,22,6862,6884,6715,6737,6715
FCFS,2017,148,68,6884,6952,6736,6804,6736
FCFS,6847,148,52,6952,7004,6804,6856,6804
FCFS,8770,148,83,7004,7087,6856,6939,6856
FCFS,5977,151,43,7087,7130,6936,6979,6936
FCFS,6661,151,20,7130,7150,6979,6999,6979
FCFS,3565,152,71,7150,7221,6998,7069,6998
FCFS,9384,153,22,7221,7243,7068,7090,7068
FCFS,6005,153,75,7243,7318,7090,7165,7090
FCFS,1229,153,7,7318,7325,7165,7172,7165
FCFS,5999,154,6,7325,7331,7171,7177,7171
FCFS,336,154,11,7331,7342,7177,7188,7177
FCFS,9567,154,54,7342,7396,7188,7242,7188
FCFS,2642,155,25,7396,7421,7241,7266,7241
FCFS,5989,156,45,7421,7466,7265,7310,7265
FCFS,1668,158,20,7466,7486,7308,7328,7308
FCFS,3162,159,11,7486,7497,7327,7338,7327
FCFS,4095,160,67,7497,7564,7337,7404,7337
FCFS,65,161,33,7564,7597,7403,7436,7403
FCFS,2367,161,78,7597,7675,7436,7514,7436
FCFS,6757,162,45,7675,7720,7513,7558,7513
FCFS,2441,162,43,7720,7763,7558,7601,7558
FCFS,2155,163,5,7763,7768,7600,7605,7600
FCFS,6429,164,69,7768,7837,7604,7673,7604
FCFS,4638,165,47,7837,7884,7672,7719,7672
FCFS,4136,165,46,7884,7930,7719,7765,7719
FCFS,3581,166,27,7930,7957,7764,7791,7764
FCFS,5257,171,55,7957,8012,7786,7841,7786
FCFS,6703,172,4,8012,8016,7840,7844,7840
FCFS,3600,174,51,8016,8067,7842,7893,7842
FCFS,6955,175,25,8067,8092,7892,7917,7892
FCFS,5563,178,81,8092,8173,7914,7995,7914
FCFS,5845,178,49,8173,8222,7995,8044,7995
FCFS,8730,179,50,8222,8272,8043,8093,8043
FCFS,2809,182,68,8272,8340,8090,8158,8090
FCFS,3152,182,19,8340,8359,8158,8177,8158
FCFS,4515,183,36,8359,8395,8176,8212,8176
FCFS,4346,186,58,8395,8453,8209,8267,8209
FCFS,3116,187,70,8453,8523,8266,8336,8266
FCFS,9499,187,88,8523,8611,8336,8424,8336
FCFS,30,189,25,8611,8636,8422,8447,8422
FCFS,5643,190,92,8636,8728,8446,8538,8446
FCFS,315,190,92,8728,8820,8538,8630,8538
FCFS,4279,191,77,8820,8897,8629,8706,8629
FCFS,7754,191,57,8897,8954,8706,8763,8706
FCFS,4472,191,32,8954,8986,8763,8795,8763
FCFS,3954,192,82,8986,9068,8794,8876,8794
FCFS,5792,192,25,9068,9093,8876,8901,8876
FCFS,2763,193,94,9093,9187,8900,8994,8900
FCFS,6235,193,48,9187,9235,8994,9042,8994
FCFS,4943,194,42,9235,9277,9041,9083,9041
FCFS,3864,195,90,9277,9367,9082,9172,9082
FCFS,203,197,50,9367,9417,9170,9220,9170
FCFS,5557,198,65,9417,9482,9219,9284,9219
FCFS,3702,201,95,9482,9577,9281,9376,9281
FCFS,2854,201,57,9577,9634,9376,9433,9376
FCFS,195,202,76,9634,9710,9432,9508,9432
FCFS,6542,203,5,9710,9715,9507,9512,9507
FCFS,4094,203,38,9715,9753,9512,9550,9512
FCFS,3942,204,91,9753,9844,9549,9640,9549
FCFS,2450,204,89,9844,9933,9640,9729,9640
FCFS,3545,205,74,9933,10007,9728,9802,9728
FCFS,121,206,86,10007,10093,9801,9887,9801
FCFS,4202,206,98,10093,10191,9887,9985,9887
FCFS,9743,207,32,10191,10223,9984,10016,9984
FCFS,1999,207,22,10223,10245,10016,10038,10016
FCFS,1633,207,24,10245,10269,10038,10062,10038
FCFS,9381,209,95,10269,10364,10060,10155,10060
FCFS,7622,209,31,10364,10395,10155,10186,10155
FCFS,7348,211,28,10395,10423,10184,10212,10184
FCFS,7637,212,48,10423,10471,10211,10259,10211
FCFS,1587,213,34,10471,10505,10258,10292,10258
FCFS,3356,215,30,10505,10535,10290,10320,10290
FCFS,5756,215,67,10535,10602,10320,10387,10320
FCFS,5492,220,15,10602,10617,10382,10397,10382
FCFS,7845,223,17,10617,10634,10394,10411,10394
FCFS,6780,223,95,10634,10729,10411,10506,10411
FCFS,7655,224,61,10729,10790,10505,10566,10505
FCFS,878,224,76,10790,10866,10566,10642,10566
FCFS,4768,224,95,10866,10961,10642,10737,10642
FCFS,290,225,16,10961,10977,10736,10752,10736
FCFS,7850,225,10,10977,10987,10752,10762,10752
FCFS,2350,226,27,10987,11014,10761,10788,10761
FCFS,4342,226,62,11014,11076,10788,10850,10788
FCFS,2605,226,92,11076,11168,10850,10942,10850
FCFS,9524,227,91,11168,11259,10941,11032,10941
FCFS,5775,228,68,11259,11327,11031,11099,11031
FCFS,6819,229,95,11327,11422,11098,11193,11098
FCFS,6211,231,66,11422,11488,11191,11257,11191
FCFS,3339,232,49,11488,11537,11256,11305,11256
FCFS,833,232,74,11537,11611,11305,11379,11305
FCFS,9616,232,73,11611,11684,11379,11452,11379
FCFS,7937,233,3,11684,11687,11451,11454,11451
FCFS,9619,233,54,11687,11741,11454,11508,11454
FCFS,7626,233,67,11741,11808,11508,11575,11508
FCFS,9696,234,80,11808,11888,11574,11654,11574
FCFS,3265,234,28,11888,11916,11654,11682,11654
FCFS,3213,234,29,11916,11945,11682,11711,11682
FCFS,7657,235,2,11945,11947,11710,11712,11710
FCFS,909,235,2,11947,11949,11712,11714,11712
FCFS,2008,236,91,11949,12040,11713,11804,11713
FCFS,7008,237,34,12040,12074,11803,11837,11803
FCFS,3941,238,47,12074,12121,11836,11883,11836
FCFS,8222,238,78,12121,12199,11883,11961,11883
FCFS,5807,240,10,12199,12209,11959,11969,11959
FCFS,3860,241,52,12209,12261,11968,12020,11968
FCFS,5083,242,37,12261,12298,12019,12056,12019
FCFS,9678,242,81,12298,12379,12056,12137,12056
FCFS,8749,243,14,12379,12393,12136,12150,12136
FCFS,4915,244,90,12393,12483,12149,12239,12149
FCFS,8476,244,62,12483,12545,12239,12301,12239
FCFS,6396,246,6,12545,12551,12299,12305,12299
FCFS,8930,246,17,12551,12568,12305,12322,12305
FCFS,701,249,1,12568,12569,12319,12320,12319
FCFS,4558,249,6,12569,12575,12320,12326,12320
FCFS,4026,249,37,12575,12612,12326,12363,12326
FCFS,7208,250,78,12612,12690,12362,12440,12362
FCFS,6380,250,65,12690,12755,12440,12505,12440
FCFS,9366,253,90,12755,12845,12502,12592,12502
FCFS,654,255,73,12845,12918,12590,12663,12590
FCFS,8887,256,26,12918,12944,12662,12688,12662
FCFS,8902,256,18,12944,12962,12688,12706,12688
FCFS,8624,256,52,12962,13014,12706,12758,12706
FCFS,2566,258,96,13014,13110,12756,12852,12756
FCFS,892,260,64,13110,13174,12850,12914,12850
FCFS,6481,261,87,13174,13261,12913,13000,12913
FCFS,235,262,13,13261,13274,12999,13012,12999
FCFS,5128,262,87,13274,13361,13012,13099,13012
FCFS,2606,264,71,13361,13432,13097,13168,13097
FCFS,9971,264,93,13432,13525,13168,13261,13168
FCFS,2713,264,48,13525,13573,13261,13309,13261
FCFS,4649,268,36,13573,13609,13305,13341,13305
FCFS,1721,269,16,13609,13625,13340,13356,13340
FCFS,4355,269,43,13625,13668,13356,13399,13356
FCFS,8118,270,9,13668,13677,13398,13407,13398
FCFS,4534,270,28,13677,13705,13407,13435,13407
FCFS,3504,270,80,13705,13785,13435,13515,13435
FCFS,8542,271,59,13785,13844,13514,13573,13514
FCFS,5527,271,53,13844,13897,13573,13626,13573
FCFS,1332,271,51,13897,13948,13626,13677,13626
FCFS,5163,272,84,13948,14032,13676,13760,13676
FCFS,3076,276,52,14032,14084,13756,13808,13756
FCFS,6089,277,7,14084,14091,13807,13814,13807
FCFS,9946,277,86,14091,14177,13814,13900,13814
FCFS,1479,277,48,14177,14225,13900,13948,13900
FCFS,3338,277,53,14225,14278,13948,14001,13948
FCFS,4890,277,91,14278,14369,14001,14092,14001
FCFS,3515,278,26,14369,14395,14091,14117,14091
FCFS,4988,279,12,14395,14407,14116,14128,14116
FCFS,1754,281,48,14407,14455,14126,14174,14126
FCFS,6894,282,26,14455,14481,14173,14199,14173
FCFS,2567,282,93,14481,14574,14199,14292,14199
FCFS,5937,283,8,14574,14582,14291,14299,14291
FCFS,2016,285,4,14582,14586,14297,14301,14297
FCFS,2712,285,15,14586,14601,14301,14316,14301
FCFS,4902,287,78,14601,14679,14314,14392,14314
FCFS,3509,289,34,14679,14713,14390,14424,14390
FCFS,7933,292,47,14713,14760,14421,14468,14421
FCFS,1463,294,70,14760,14830,14466,14536,14466
FCFS,5777,294,46,14830,14876,14536,14582,14536
FCFS,3818,294,64,14876,14940,14582,14646,14582
FCFS,7505,294,19,14940,14959,14646,14665,14646
FCFS,8816,295,79,14959,15038,14664,14743,14664
FCFS,9774,296,78,15038,15116,14742,14820,14742
FCFS,4954,297,91,15116,15207,14819,14910,14819
FCFS,8205,298,32,15207,15239,14909,14941,14909
FCFS,5103,298,74,15239,15313,14941,15015,14941
FCFS,6048,300,55,15313,15368,15013,15068,15013
FCFS,2274,301,66,15368,15434,15067,15133,15067
FCFS,309,301,80,15434,15514,15133,15213,15133
FCFS,793,302,4,15514,15518,15212,15216,15212
FCFS,1800,302,81,15518,15599,15216,15297,15216
FCFS,5340,305,31,15599,15630,15294,15325,15294
