FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,324930,324979,19556.4,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,324926,324976,19567.3,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,324222,324272,38277.8,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,324222,324272,38277.8,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,324217,324266,38298,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,324200,324250,38378.3,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325049,325098,10006.5,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325050,325099,10006.3,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325038,325088,10415.2,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325064,325114,9932.73,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325064,325114,9932.73,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325063,325113,9926.04,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325071,325121,9886.42,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,324207,324257,38305.7,0.0201168,1
FCFS,244836,244886,244836,0.0201168,1
SRTF,161560,161610,161560,0.0201168,1
MLFQ,325070,325120,9886.78,0.0201168,1
