scheduler,id,arrival,burst,start,exit,waiting,turnaround,response
FCFS,460,2738,44,5955,5999,3217,3261,3217
FCFS,427,2744,75,5999,6074,3255,3330,3255
FCFS,27,2747,76,6074,6150,3327,3403,3327
FCFS,495,2786,63,6150,6213,3364,3427,3364
FCFS,129,2790,85,6213,6298,3423,3508,3423
FCFS,345,2806,73,6298,6371,3492,3565,3492
FCFS,213,2811,6,6371,6377,3560,3566,3560
FCFS,403,2838,86,6377,6463,3539,3625,3539
FCFS,448,2839,6,6463,6469,3624,3630,3624
FCFS,440,2849,95,6469,6564,3620,3715,3620
FCFS,265,2869,38,6564,6602,3695,3733,3695
FCFS,219,2911,3,6602,6605,3691,3694,3691
FCFS,201,2931,89,6605,6694,3674,3763,3674
FCFS,352,2950,48,6694,6742,3744,3792,3744
FCFS,262,2961,66,6742,6808,3781,3847,3781
FCFS,494,2967,65,6808,6873,3841,3906,3841
FCFS,317,2975,67,6873,6940,3898,3965,3898
FCFS,223,2976,37,6940,6977,3964,4001,3964
FCFS,32,3005,95,6977,7072,3972,4067,3972
FCFS,334,3009,1,7072,7073,4063,4064,4063
FCFS,378,3051,23,7073,7096,4022,4045,4022
FCFS,58,3073,75,7096,7171,4023,4098,4023
FCFS,101,3099,13,7171,7184,4072,4085,4072
FCFS,104,3104,20,7184,7204,4080,4100,4080
FCFS,242,3108,72,7204,7276,4096,4168,4096
FCFS,376,3124,7,7276,7283,4152,4159,4152
FCFS,422,3147,21,7283,7304,4136,4157,4136
FCFS,54,3152,5,7304,7309,4152,4157,4152
FCFS,144,3157,3,7309,7312,4152,4155,4152
FCFS,245,3170,34,7312,7346,4142,4176,4142
FCFS,311,3170,4,7346,7350,4176,4180,4176
FCFS,139,3242,14,7350,7364,4108,4122,4108
FCFS,481,3267,33,7364,7397,4097,4130,4097
FCFS,169,3304,64,7397,7461,4093,4157,4093
FCFS,320,3327,32,7461,7493,4134,4166,4134
FCFS,416,3343,56,7493,7549,4150,4206,4150
FCFS,289,3354,10,7549,7559,4195,4205,4195
FCFS,471,3373,1,7559,7560,4186,4187,4186
FCFS,20,3385,59,7560,7619,4175,4234,4175
FCFS,321,3394,50,7619,7669,4225,4275,4225
FCFS,308,3420,75,7669,7744,4249,4324,4249
FCFS,286,3436,5,7744,7749,4308,4313,4308
FCFS,305,3444,55,7749,7804,4305,4360,4305
FCFS,282,3446,79,7804,7883,4358,4437,4358
FCFS,425,3506,4,7883,7887,4377,4381,4377
FCFS,194,3510,18,7887,7905,4377,4395,4377
FCFS,38,3556,12,7905,7917,4349,4361,4349
FCFS,99,3561,67,7917,7984,4356,4423,4356
FCFS,175,3581,84,7984,8068,4403,4487,4403
FCFS,148,3627,75,8068,8143,4441,4516,4441
FCFS,414,3672,98,8143,8241,4471,4569,4471
FCFS,179,3696,13,8241,8254,4545,4558,4545
FCFS,164,3748,50,8254,8304,4506,4556,4506
FCFS,170,3763,27,8304,8331,4541,4568,4541
FCFS,366,3769,90,8331,8421,4562,4652,4562
FCFS,113,3840,62,8421,8483,4581,4643,4581
FCFS,60,3843,76,8483,8559,4640,4716,4640
FCFS,374,3854,59,8559,8618,4705,4764,4705
FCFS,330,3863,61,8618,8679,4755,4816,4755
FCFS,39,3890,25,8679,8704,4789,4814,4789
FCFS,465,3913,19,8704,8723,4791,4810,4791
FCFS,56,3943,87,8723,8810,4780,4867,4780
FCFS,480,3974,3,8810,8813,4836,4839,4836
FCFS,273,3987,79,8813,8892,4826,4905,4826
FCFS,458,4000,51,8892,8943,4892,4943,4892
FCFS,332,4014,21,8943,8964,4929,4950,4929
FCFS,234,4061,77,8964,9041,4903,4980,4903
FCFS,417,4070,59,9041,9100,4971,5030,4971
FCFS,497,4079,17,9100,9117,5021,5038,5021
FCFS,469,4107,12,9117,9129,5010,5022,5010
FCFS,386,4142,74,9129,9203,4987,5061,4987
FCFS,365,4146,14,9203,9217,5057,5071,5057
FCFS,256,4199,17,9217,9234,5018,5035,5018
FCFS,196,4218,49,9234,9283,5016,5065,5016
FCFS,423,4249,70,9283,9353,5034,5104,5034
